id,airline_code,flight_num,airline_name,scheduled_dt,actual_dt,departure_ind,destination_airport_code,destination_airport_name,destination_city_heb,destination_city_en,destination_country_heb,destination_country_en,terminal_num,checkin_counter,checkin_zone,flight_status_en,flight_status_heb
1,A3,926,AEGEAN  AIRLINES,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה
2,EK,4976,EMIRATES,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה
3,JU,7620,AIR SERBIA,2026-07-11T19:00:00,2026-07-11T19:16:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה
4,6H,569,ISRAIR AIRLINES,2026-07-11T18:45:00,2026-07-11T19:18:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,201-209,G,DEPARTED,המריאה
5,IZ,219A,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:15:00,2026-07-11T19:21:00,A,TLV,TEL AVIV,נתבג,BEN GURION,ישראל,ISRAEL,3.0,,,LANDED,נחתה
6,EK,2451,EMIRATES,2026-07-11T19:25:00,2026-07-11T19:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה
7,FZ,1626,FLYDUBAI,2026-07-11T19:25:00,2026-07-11T19:26:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה
8,IZ,094,ARKIA  ISRAELI  AIRLINES,2026-07-11T18:55:00,2026-07-11T19:30:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה
9,6H,779,ISRAIR AIRLINES,2026-07-11T18:50:00,2026-07-11T19:47:00,D,BOJ,BURGAS,בורגס,BOURGAS,בולגריה,BULGARIA,3.0,201-209,G,DEPARTED,המריאה
10,BZ,757,BLUE BIRD AIRWAYS,2026-07-11T19:00:00,2026-07-11T19:52:00,A,HER,HERAKLION,הרקליון,HERAKLION,יוון,GREECE,3.0,,,LANDED,נחתה
11,U8,159,TUS AIRWAYS,2026-07-11T20:05:00,2026-07-11T20:03:00,A,PFO,PAPHOS,פאפוס,PAPHOS,קפריסין,CYPRUS,3.0,,,LANDED,נחתה
12,IZ,414,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:10:00,2026-07-11T20:14:00,A,BUS,BATUMI,בטומי,BATUMI,גיאורגיה,GEORGIA,3.0,,,LANDED,נחתה
13,EY,598,ETIHAD AIRWAYS,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה
14,LY,9607,EL AL ISRAEL AIRLINES,2026-07-11T20:10:00,2026-07-11T20:15:00,D,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,12-17,A,DEPARTED,המריאה
15,6H,508,ISRAIR AIRLINES,2026-07-11T20:45:00,2026-07-11T20:18:00,A,JTR,SANTORINI,סנטוריני,SANTORINI,יוון,GREECE,3.0,,,LANDED,נחתה
16,IZ,223,ARKIA  ISRAELI  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:25:00,D,SKG,THESSALONIKI,סלוניקי,THESSALONIKI,יוון,GREECE,1.0,310-316,A,DEPARTED,המריאה
17,A3,927,AEGEAN  AIRLINES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה
18,EK,4978,EMIRATES,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה
19,JU,7614,AIR SERBIA,2026-07-11T19:55:00,2026-07-11T20:32:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,19-22,A,DEPARTED,המריאה
20,W4,6404,WIZZ AIR MALTA,2026-07-11T18:55:00,2026-07-11T20:35:00,D,MXP,MILAN-MALPENSA,מילאנו,MILAN,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה
21,EK,2346,EMIRATES,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה
22,FZ,1808,FLYDUBAI,2026-07-11T20:45:00,2026-07-11T20:43:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-39,B,DEPARTED,המריאה
23,6H,047,ISRAIR AIRLINES,2026-07-11T20:30:00,2026-07-11T20:46:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,355-360,C,DEPARTED,המריאה
24,6H,754,ISRAIR AIRLINES,2026-07-11T21:05:00,2026-07-11T21:01:00,A,LJU,LJUBLJANA,לובליאנה,LJUBLJANA,סלובניה,SLOVENIA,3.0,,,LANDED,נחתה
25,IZ,1805,ARKIA  ISRAELI  AIRLINES,2026-07-11T18:00:00,2026-07-11T21:02:00,D,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,349-354,C,DEPARTED,המריאה
26,IZ,219B,ARKIA  ISRAELI  AIRLINES,2026-07-11T23:30:00,2026-07-11T21:03:00,D,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,DEPARTED,המריאה
27,IZ,1161,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:30:00,2026-07-11T21:05:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,1.0,310-316,A,DEPARTED,המריאה
28,EK,2167,EMIRATES,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה
29,FZ,1053,FLYDUBAI,2026-07-11T21:40:00,2026-07-11T21:09:00,A,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה
30,W4,6043,WIZZ AIR MALTA,2026-07-11T18:45:00,2026-07-11T21:18:00,A,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,3.0,,,LANDED,נחתה
31,BZ,701,BLUE BIRD AIRWAYS,2026-07-11T21:00:00,2026-07-11T21:43:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה
32,6H,518,ISRAIR AIRLINES,2026-07-11T19:30:00,2026-07-11T22:16:00,A,RHO,RHODES-PARADISI,רודוס,RHODES,יוון,GREECE,3.0,,,LANDED,נחתה
33,6H,585,ISRAIR AIRLINES,2026-07-11T21:00:00,2026-07-11T22:17:00,D,LCA,LARNACA,לרנקה,LARNACA,קפריסין,CYPRUS,3.0,201-210,G,DEPARTED,המריאה
34,BZ,261,BLUE BIRD AIRWAYS,2026-07-11T22:40:00,2026-07-11T22:25:00,A,MUC,MUNICH,מינכן,MUNICH,גרמניה,GERMANY,3.0,,,LANDED,נחתה
35,6H,770,ISRAIR AIRLINES,2026-07-11T22:00:00,2026-07-11T22:27:00,A,PRG,PRAGUE-RUZYNE,פראג,PRAGUE,צ'כיה,CZECH REPUBLIC,3.0,,,LANDED,נחתה
36,GQ,720,SKY EXPRESS S.A.,2026-07-11T22:30:00,2026-07-11T22:33:00,A,ATH,ATHENS,אתונה,ATHENS,יוון,GREECE,3.0,,,LANDED,נחתה
37,ET,414,ETHIOPIAN AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה
38,LY,8806,EL AL ISRAEL AIRLINES,2026-07-11T23:00:00,2026-07-11T22:36:00,A,ADD,ADDIS ABABA,אדיס אבבה,ADDIS ABABA,אתיופיה,ETHIOPIA,3.0,,,LANDED,נחתה
39,J2,331,AZERBAIJAN AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה
40,LY,9952,EL AL ISRAEL AIRLINES,2026-07-11T22:55:00,2026-07-11T22:45:00,A,GYD,BAKU HEYDAR ALIYEV INT`L,באקו,BAKU,אזרביג'אן,AZERBAIJAN,3.0,,,LANDED,נחתה
41,EY,599,ETIHAD AIRWAYS,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה
42,LY,9611,EL AL ISRAEL AIRLINES,2026-07-11T23:05:00,2026-07-11T22:47:00,A,AUH,ABU DHABI,אבו דאבי,ABU DHABI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,,,LANDED,נחתה
43,W4,6044,WIZZ AIR MALTA,2026-07-11T19:40:00,2026-07-11T22:48:00,D,FCO,ROME - FIUMICINO,רומא,ROME,איטליה,ITALY,1.0,332-336,B,DEPARTED,המריאה
44,IZ,054,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:55:00,2026-07-11T22:49:00,A,CFU,CORFU,קורפו,CORFU,יוון,GREECE,3.0,,,LANDED,נחתה
45,6H,048,ISRAIR AIRLINES,2026-07-11T23:15:00,2026-07-11T22:53:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה
46,BZ,441,BLUE BIRD AIRWAYS,2026-07-11T23:20:00,2026-07-11T23:00:00,A,BUD,BUDAPEST,בודפשט,BUDAPEST,הונגריה,HUNGARY,3.0,,,LANDED,נחתה
47,EK,2168,EMIRATES,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה
48,FZ,1054,FLYDUBAI,2026-07-11T22:50:00,2026-07-11T23:02:00,D,DXB,DUBAI,דובאי,DUBAI,איחוד האמירויות הערב,UNITED ARAB EMIRATES,3.0,34-37,B,DEPARTED,המריאה
49,IZ,362,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:35:00,2026-07-11T23:03:00,A,SJJ,SARAJEVO,סראייבו,SARAJEVO,בוסניה,BOSNIA,3.0,,,LANDED,נחתה
50,IZ,1806,ARKIA  ISRAELI  AIRLINES,2026-07-11T20:30:00,2026-07-11T23:06:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה
51,LH,690,LUFTHANSA,2026-07-11T23:15:00,2026-07-11T23:17:00,A,FRA,FRANKFURT,פרנקפורט,FRANKFURT,גרמניה,GERMANY,3.0,,,LANDED,נחתה
52,IZ,412,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:20:00,A,TIA,TIRANA,טיראנה,TIRANA,אלבניה,ALBANIA,3.0,,,LANDED,נחתה
53,IZ,1846,ARKIA  ISRAELI  AIRLINES,2026-07-11T22:50:00,2026-07-11T23:23:00,A,ETM,RAMON,אילת - רמון,RAMON,ישראל,ISRAEL,1.0,,,LANDED,נחתה
54,LY,9490,EL AL ISRAEL AIRLINES,2026-07-11T23:20:00,2026-07-11T23:25:00,A,OTP,BUCHAREST - OTOPENI,בוקרשט,BUCHAREST,רומניה,ROMANIA,3.0,,,LANDED,נחתה
